name	comparisons	concepts	mean_distance_pm	mean_distance_wn	pval
PID_SHP2_PATHWAY	1596	57	0.20033310395672488	0.2021866960364921	0.5530136635189447
PID_TGFBR_PATHWAY	1431	54	0.19382965316980383	0.19234032414953914	0.6517600616234258
PID_EPHRINB_REV_PATHWAY	435	30	0.18272498250064487	0.19264655357109936	0.12661689792556088
PID_INTEGRIN5_PATHWAY	136	17	0.18638667444292667	0.1968425542292472	0.33640899452264017
PID_WNT_SIGNALING_PATHWAY	378	28	0.19719301326353	0.1834230047293064	0.04272161606027525
PID_CASPASE_PATHWAY	1275	51	0.19513050949473829	0.18932501435720905	0.10412593951703926
PID_IL1_PATHWAY	561	34	0.1967789726912482	0.19330348912246567	0.5123401444553313
PID_DELTA_NP63_PATHWAY	1128	48	0.18477506431241542	0.1880453531371767	0.40703652294722725
PID_GLYPICAN_1PATHWAY	351	27	0.19196570851480801	0.20467389436963657	0.0712585379951079
PID_PI3K_PLC_TRK_PATHWAY	630	36	0.18865385412380378	0.20542847094770422	0.0018753896017261935
PID_CXCR3_PATHWAY	903	43	0.2031817015491956	0.1882637305336089	0.0012013241802494585
PID_IL12_STAT4_PATHWAY	496	32	0.1919368916507088	0.18385664745052305	0.16769022216419427
PID_MYC_PATHWAY	300	25	0.19803532034678828	0.19523981048752784	0.7166193063257782
PID_WNT_CANONICAL_PATHWAY	190	20	0.19398433738251247	0.18702594632998687	0.4394766768437909
PID_TCPTP_PATHWAY	861	42	0.20137144088469464	0.21250392035548074	0.006978823290874526
PID_HES_HEY_PATHWAY	1128	48	0.19737467712544418	0.19412846633395034	0.3985135797714141
PID_TELOMERASE_PATHWAY	2211	67	0.19159604977046707	0.20265694063226505	5.886767923987853e-05
PID_EPO_PATHWAY	528	33	0.19625076552646534	0.2112703855848873	0.005999782202966955
PID_THROMBIN_PAR1_PATHWAY	903	43	0.19316045819219999	0.18963146959088692	0.4233219413787449
PID_MYC_ACTIV_PATHWAY	3081	79	0.2085000814654553	0.19312727859280407	8.604682568847612e-11
PID_FOXO_PATHWAY	1176	49	0.20947982331086618	0.19992509513664802	0.013227388578061147
PID_ANTHRAX_PATHWAY	153	18	0.18115523941237696	0.18733592393097745	0.5572827270759912
PID_RB_1PATHWAY	2080	65	0.19963569675699216	0.1897808889811127	0.0007025429612685495
PID_VEGFR1_2_PATHWAY	2346	69	0.19864282993319532	0.1946462362448681	0.14716148846896937
PID_P38_GAMMA_DELTA_PATHWAY	55	11	0.186909270885279	0.1839210351248363	0.8299430927833957
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	1176	49	0.20125467108148762	0.21247746749060684	0.004673586826818554
PID_ALPHA_SYNUCLEIN_PATHWAY	496	32	0.18294973886246776	0.183889893410314	0.8786849991563249
PID_ARF6_TRAFFICKING_PATHWAY	1176	49	0.19722678224136864	0.19645979405818165	0.8361204679008054
PID_ECADHERIN_KERATINOCYTE_PATHWAY	210	21	0.20766649312377317	0.20991218523950816	0.8085011443756991
PID_NFKAPPAB_CANONICAL_PATHWAY	253	23	0.2107668411601375	0.21262435204478536	0.8215429985386975
PID_NFAT_3PATHWAY	1378	53	0.18428460287699017	0.19200010128003758	0.02471394581779008
PID_IL8_CXCR2_PATHWAY	561	34	0.20044859197156387	0.18513345264452633	0.01120383331711878
PID_TNF_PATHWAY	1035	46	0.19148386084364735	0.19179468282290604	0.9365934936336537
PID_P53_REGULATION_PATHWAY	1711	59	0.19816692809983838	0.1858871678981066	8.011945086475698e-05
PID_HNF3B_PATHWAY	990	45	0.1856843806106895	0.18325715929732142	0.5449099169524133
PID_FAK_PATHWAY	1711	59	0.18881650325225255	0.1889176972611753	0.974055169276655
PID_TOLL_ENDOGENOUS_PATHWAY	276	24	0.18837519331267583	0.20542338766099652	0.03178494079661356
PID_WNT_NONCANONICAL_PATHWAY	496	32	0.18892322971879036	0.20448246866158287	0.010196411546968692
PID_RETINOIC_ACID_PATHWAY	435	30	0.20114526013346304	0.20654696249229135	0.3805195305737772
PID_AURORA_A_PATHWAY	465	31	0.21146559291103276	0.1965813465243656	0.01873713585705301
PID_RXR_VDR_PATHWAY	325	26	0.18839167464946538	0.2058667706875069	0.015223584204882564
PID_PLK1_PATHWAY	1035	46	0.19109258521279018	0.19017934812556417	0.8193024529328679
PID_ERBB2_ERBB3_PATHWAY	946	44	0.19958292754859464	0.2081263857357412	0.038071828357129245
PID_IL27_PATHWAY	325	26	0.20320921872922454	0.1835453680798238	0.004793772838489266
PID_INTEGRIN1_PATHWAY	2145	66	0.18886587193775028	0.18735919291713132	0.5807536038973227
PID_TCR_CALCIUM_PATHWAY	378	28	0.1842840651718816	0.19526334395044123	0.08631903738078697
PID_NFKAPPAB_ATYPICAL_PATHWAY	136	17	0.1999584745962921	0.2000335704319059	0.994692079255703
PID_IL23_PATHWAY	666	37	0.2046931144968633	0.1986001269864518	0.2294073548755568
PID_IL2_1PATHWAY	1485	55	0.20099763767307516	0.20157390000535708	0.866714072374603
PID_S1P_S1P1_PATHWAY	210	21	0.18144287318422136	0.1942760253278919	0.14369304433641225
PID_CIRCADIAN_PATHWAY	105	15	0.1781780450925142	0.20134437261701701	0.06548348346895093
PID_NEPHRIN_NEPH1_PATHWAY	465	31	0.17425311575857	0.189458839298477	0.008177366776888198
PID_AR_NONGENOMIC_PATHWAY	465	31	0.19544599770767818	0.2029076217104104	0.21364130434506867
PID_EPHA_FWDPATHWAY	561	34	0.1911454920919053	0.18391256124672564	0.22040947500373886
PID_IL2_STAT5_PATHWAY	435	30	0.1835642094213998	0.197140852189387	0.025297918753959297
PID_ATR_PATHWAY	741	39	0.19905092973696425	0.1879255554208582	0.020580007234182202
PID_MYC_REPRESS_PATHWAY	1953	63	0.19713443369994318	0.19673979043873066	0.8907562779260116
PID_SYNDECAN_3_PATHWAY	136	17	0.1858148097578927	0.17871222167608417	0.44402778969121104
PID_ALK1_PATHWAY	325	26	0.19244899281463676	0.18555722569175373	0.313134066809374
PID_TRAIL_PATHWAY	378	28	0.18911731673242943	0.17588114192951448	0.047236404991022
PID_P75_NTR_PATHWAY	2278	68	0.1908427614268043	0.18513835790666547	0.02946030007328125
PID_IL3_PATHWAY	325	26	0.19816291781135925	0.20340032319605666	0.47513731756125366
PID_ERA_GENOMIC_PATHWAY	2016	64	0.18616042409995412	0.19827117982220743	2.5373650013745777e-05
PID_HIF2PATHWAY	561	34	0.20514211603069543	0.20918051720346734	0.46231184722486396
PID_PTP1B_PATHWAY	1326	52	0.19931013334756362	0.20309632467682875	0.2673014867526182
PID_RAC1_PATHWAY	1431	54	0.19742782077149107	0.1855740303059069	0.0006247895543633603
PID_S1P_S1P2_PATHWAY	276	24	0.19051314379798848	0.2050581024640103	0.08435104417950068
PID_IL4_2PATHWAY	2016	64	0.20755798977372397	0.20837353134964404	0.7780539214381028
PID_SMAD2_3NUCLEAR_PATHWAY	3321	82	0.20140035031690065	0.19540600510222692	0.006763766611035169
PID_CONE_PATHWAY	253	23	0.22703415482341519	0.21322483351222465	0.1208915618758877
PID_ERBB_NETWORK_PATHWAY	105	15	0.19499350122157055	0.22326268608037622	0.036455663107000005
PID_MTOR_4PATHWAY	2346	69	0.19821843594299463	0.20065025670067235	0.35551053885247963
PID_RHOA_PATHWAY	990	45	0.18974079032135915	0.19280419911824026	0.448654180080727
PID_RET_PATHWAY	741	39	0.20748574195716674	0.1858203351661468	8.885416196655348e-06
PID_HIF1_TFPATHWAY	2145	66	0.19956692436499704	0.2050861690045656	0.046583800307823386
PID_HNF3A_PATHWAY	946	44	0.19664746304540914	0.1992977141442051	0.5286581679992206
PID_PRL_SIGNALING_EVENTS_PATHWAY	253	23	0.19293633777671693	0.20050053015845318	0.3217754412557733
PID_NECTIN_PATHWAY	435	30	0.20278253663215556	0.19313651499644532	0.11686457326083499
PID_IFNG_PATHWAY	780	40	0.19821389888319818	0.2018458826740633	0.406663034903162
PID_TXA2PATHWAY	1485	55	0.1969140014660838	0.19205137148856324	0.17117157085382415
PID_S1P_S1P3_PATHWAY	406	29	0.19745085453632194	0.20143108375939783	0.5343900547622435
PID_CMYB_PATHWAY	3486	84	0.20069322622705774	0.19989753925276713	0.7254324743095752
PID_AP1_PATHWAY	2415	70	0.20423606282622067	0.20177239077122255	0.3541468979805683
PID_AJDISS_2PATHWAY	1128	48	0.19235878450895466	0.2000493098512654	0.04637708627651117
PID_KIT_PATHWAY	1326	52	0.19665129012943716	0.20106844620234307	0.2035164764325904
PID_ENDOTHELIN_PATHWAY	1953	63	0.18768289354422918	0.19865527831509072	0.00027937120172530057
PID_P38_MKK3_6PATHWAY	325	26	0.1989794396239599	0.1887052534107333	0.16203250118289977
PID_HIV_NEF_PATHWAY	595	35	0.201388323051649	0.1989128958489663	0.622854229839906
PID_CDC42_PATHWAY	2415	70	0.18733415536300738	0.19750846918374126	0.0001712692912557279
PID_P38_ALPHA_BETA_PATHWAY	435	30	0.17222805865841728	0.19157897281056227	0.0023215611362943254
PID_EPHA2_FWD_PATHWAY	171	19	0.21038220708855326	0.20423354802592175	0.541190838282022
PID_CD40_PATHWAY	465	31	0.20748548106469056	0.1974573607098165	0.11010027001388929
PID_SYNDECAN_2_PATHWAY	528	33	0.18424766201317383	0.19668186937240587	0.02406961259164629
PID_ILK_PATHWAY	990	45	0.19141517100635172	0.19096919935662995	0.9103161411568212
PID_RAC1_REG_PATHWAY	703	38	0.18854792104787396	0.18026413020502072	0.09721756111243983
PID_IL8_CXCR1_PATHWAY	378	28	0.20199344692135113	0.1929637205241738	0.21999534985505786
PID_TAP63_PATHWAY	1431	54	0.1807238879086686	0.1993510075317438	1.6124121260000537e-08
PID_LYSOPHOSPHOLIPID_PATHWAY	2016	64	0.19507431972337447	0.18844361182167	0.02317674574021923
PID_P53_DOWNSTREAM_PATHWAY	9316	137	0.19480722992147526	0.19049855037881847	0.0011866039273296172
PID_INTEGRIN3_PATHWAY	903	43	0.19360853409397644	0.19980368927340764	0.14250629996790729
PID_REG_GR_PATHWAY	3321	82	0.20326155735756124	0.1950383661388122	0.00020856773411807882
PID_ARF6_PATHWAY	595	35	0.19610120185748728	0.20198093097587347	0.2709893188424077
PID_IGF1_PATHWAY	406	29	0.19250531650572297	0.19182914756348596	0.9187549098931904
PID_BETA_CATENIN_NUC_PATHWAY	3160	80	0.19158043482936724	0.19041041009000145	0.6044092813432191
PID_SYNDECAN_1_PATHWAY	1035	46	0.19047368572094067	0.18913091687070385	0.7386896445191206
PID_S1P_META_PATHWAY	210	21	0.1919770742854378	0.19299476256193263	0.9031426059588846
PID_CDC42_REG_PATHWAY	435	30	0.189490350300019	0.19263097709755614	0.6334152225451599
PID_NCADHERIN_PATHWAY	528	33	0.19938973643417188	0.20057018738270221	0.8333463808552607
PID_CD8_TCR_PATHWAY	1378	53	0.1900950745234338	0.19047281173632674	0.9122029079873819
PID_DNA_PK_PATHWAY	120	16	0.16021093108042478	0.17767451460800215	0.10993916384114902
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	595	35	0.19037327777377752	0.18787758999420284	0.6323791872461564
PID_INSULIN_PATHWAY	946	44	0.1876910666465898	0.19309849350733507	0.2039636595022009
PID_CD8_TCR_DOWNSTREAM_PATHWAY	2080	65	0.19615962508755075	0.19587872163194006	0.9236889027423651
PID_LKB1_PATHWAY	1081	47	0.20072447116286046	0.18723514519644482	0.0008210388307483845
PID_ERB_GENOMIC_PATHWAY	105	15	0.19632953894186628	0.20105938962263595	0.7063883200526611
PID_PS1_PATHWAY	1035	46	0.19804490243654518	0.19418553281717335	0.3372564656018999
PID_SYNDECAN_4_PATHWAY	496	32	0.18831263823939123	0.20813401753486968	0.0003256768452597971
PID_AVB3_OPN_PATHWAY	465	31	0.20780643372261506	0.20289505679274342	0.41689701000599266
PID_SMAD2_3PATHWAY	120	16	0.16649781405592468	0.19787799756159188	0.009908401624696814
PID_FRA_PATHWAY	666	37	0.20842232368952715	0.2086841410019041	0.9584551921369924
PID_PDGFRA_PATHWAY	231	22	0.18596104302156877	0.18770456101832753	0.8305515986634814
PID_LYMPH_ANGIOGENESIS_PATHWAY	300	25	0.17947382429621658	0.1909614364193342	0.10468617558204016
PID_BETA_CATENIN_DEG_PATHWAY	153	18	0.19082100656726755	0.18835857358736696	0.8083273277847688
PID_NFAT_TFPATHWAY	990	45	0.20340046121441055	0.19723773322841873	0.13640875039427913
PID_REELIN_PATHWAY	378	28	0.19681701331181534	0.19506004848135644	0.7750377813014033
PID_PDGFRB_PATHWAY	8001	127	0.18825639839008057	0.1878096939125488	0.7587140640035692
PID_HIF1A_PATHWAY	171	19	0.1807580448873392	0.18204468802054688	0.8940854353731977
PID_AR_PATHWAY	1830	61	0.18439137531077762	0.1954051477006327	0.00028288166022609837
PID_ALK2_PATHWAY	55	11	0.21141227354704598	0.18554903011622212	0.09873925253413651
PID_BMP_PATHWAY	861	42	0.1968933823357218	0.19736005073361793	0.9104437050968442
PID_ECADHERIN_STABILIZATION_PATHWAY	820	41	0.2043930743839007	0.19479759783568573	0.04960880473611717
PID_GMCSF_PATHWAY	630	36	0.19851842971876452	0.19530656817373593	0.5185162854732893
PID_INTEGRIN_A9B1_PATHWAY	300	25	0.17496527987168833	0.20450000239091093	3.2337312130209475e-05
PID_ECADHERIN_NASCENT_AJ_PATHWAY	741	39	0.21366494784726278	0.1912577268836381	1.678571467134662e-06
PID_AR_TF_PATHWAY	1378	53	0.18319426131982394	0.19160714251714933	0.015186014410909136
PID_IL6_7_PATHWAY	1081	47	0.19580275783697607	0.20474426770052379	0.02535645599274528
PID_PI3KCI_PATHWAY	1128	48	0.19665140593231115	0.19112340856956295	0.17043055700783458
PID_INSULIN_GLUCOSE_PATHWAY	325	26	0.20052872931251714	0.18152592994429909	0.007061728693152269
PID_MAPK_TRK_PATHWAY	561	34	0.19131600392426418	0.1933464081727945	0.6962546437951339
PID_HDAC_CLASSII_PATHWAY	561	34	0.19141433529949725	0.1888723205827908	0.6403618572498901
