name	comparisons	concepts	mean_distance_pm	mean_distance_wn	pval
KEGG_SELENOAMINO_ACID_METABOLISM	45	10	0.26033485823777697	0.27028234452962846	0.6838931841965186
KEGG_PARKINSONS_DISEASE	1128	48	0.282373175492284	0.28599800596671826	0.5105254182108718
KEGG_ONE_CARBON_POOL_BY_FOLATE	66	12	0.38060510174287904	0.37683011765843344	0.8405165313716675
KEGG_TIGHT_JUNCTION	3081	79	0.3644659776614658	0.3783361472833048	4.093908850507155e-07
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	55	11	0.2801251677715835	0.2768948436261765	0.9031408640811347
KEGG_LINOLEIC_ACID_METABOLISM	120	16	0.39983621506205835	0.42695648187670077	0.10043986551560509
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	21	7	0.227021302763147	0.27320154562275245	0.17339414391733066
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	666	37	0.29547733979501295	0.30999237572292127	0.02406834067266089
KEGG_ETHER_LIPID_METABOLISM	91	14	0.3114675258589711	0.31965786357557385	0.7171799584606017
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	6	0.24872785625721017	0.298989628722939	0.2394932468293684
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	351	27	0.2671063794923982	0.2862764452217471	0.05677447122247393
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	990	45	0.4110589946260779	0.42675147765046695	0.0035910180539045745
KEGG_BASAL_TRANSCRIPTION_FACTORS	15	6	0.2297608785724097	0.24360435459633306	0.8112557526531913
KEGG_GRAFT_VERSUS_HOST_DISEASE	465	31	0.4070256086810959	0.4273508997387494	0.015890306207696017
KEGG_PPAR_SIGNALING_PATHWAY	1326	52	0.3091748415862855	0.31971608930487044	0.03760862087734778
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	17391	187	0.32672443962374037	0.33456536336533005	2.9499677181155126e-13
KEGG_LEISHMANIA_INFECTION	1770	60	0.40491523601416646	0.4152327266829559	0.020444799985275302
KEGG_CARDIAC_MUSCLE_CONTRACTION	378	28	0.28190310893496245	0.2943950926824908	0.17662059928341312
KEGG_PYRIMIDINE_METABOLISM	741	39	0.26507700470420287	0.3006323518051851	1.3197843860235534e-08
KEGG_TYPE_II_DIABETES_MELLITUS	903	43	0.37709183045408873	0.3842974143802404	0.17573696334413488
KEGG_PROPANOATE_METABOLISM	171	19	0.27435611660737574	0.2815165454429924	0.5930849140176235
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1830	61	0.3969571150299817	0.40437617396183717	0.10973166928759076
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	91	14	0.22867506471824606	0.2074741212780402	0.2727803876814699
KEGG_PENTOSE_PHOSPHATE_PATHWAY	91	14	0.2888201349226577	0.291161628342145	0.8831234482740871
KEGG_PEROXISOME	406	29	0.23359345761103317	0.24563079249931838	0.20379040810856097
KEGG_WNT_SIGNALING_PATHWAY	5995	110	0.4214208885845335	0.43599969245839015	3.1757878507718604e-16
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	496	32	0.4115140343995427	0.41327497917970907	0.8252811965948721
KEGG_ABC_TRANSPORTERS	528	33	0.34377171454669586	0.3588879961111416	0.06113675973015625
KEGG_INSULIN_SIGNALING_PATHWAY	4656	97	0.36341936910111994	0.36505179983508595	0.579376594484065
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1176	49	0.2652322963296451	0.28266568365607464	0.002683374433719592
KEGG_RENAL_CELL_CARCINOMA	2145	66	0.443975062982339	0.45488271029443456	0.0004107482410656305
