BIOCARTA_RECK_PATHWAY	M22068	ncbigene7078;ncbigene4313;ncbigene3265;ncbigene7076;ncbigene7077;ncbigene7079;ncbigene4313;ncbigene4318;ncbigene4323;ncbigene3265;ncbigene8434;ncbigene3265
BIOCARTA_AMI_PATHWAY	M15394	ncbigene1285;ncbigene1286;ncbigene2155;ncbigene5340;ncbigene5624;ncbigene5627;ncbigene462;ncbigene1287;ncbigene2159;ncbigene2147;ncbigene2243;ncbigene2266;ncbigene5327;ncbigene7035;ncbigene5340;ncbigene2244;ncbigene2155;ncbigene1282;ncbigene1284;ncbigene1288;ncbigene2149;ncbigene2244;ncbigene7035;ncbigene51327;ncbigene2155;ncbigene2266;ncbigene2243;ncbigene5327;ncbigene1287;ncbigene1288
BIOCARTA_EDG1_PATHWAY	M10579	ncbigene5295;ncbigene5290;ncbigene5578;ncbigene3690;ncbigene6609;ncbigene6609;ncbigene207;ncbigene207;ncbigene5595;ncbigene5595;ncbigene427;ncbigene8877;ncbigene8877;ncbigene80309;ncbigene3685;ncbigene3685;ncbigene5295;ncbigene1901;ncbigene387;ncbigene3685;ncbigene5154;ncbigene5294;ncbigene5578;ncbigene5579;ncbigene5594;ncbigene5595;ncbigene6610;ncbigene427;ncbigene207;ncbigene5156;ncbigene5290;ncbigene5879;ncbigene23236;ncbigene5879;ncbigene107;ncbigene8877;ncbigene80309;ncbigene5154;ncbigene5594;ncbigene427;ncbigene5295;ncbigene5295;ncbigene5295;ncbigene23236;ncbigene8877;ncbigene5579
BIOCARTA_CTLA4_PATHWAY	M1467	ncbigene5295;ncbigene5290;ncbigene917;ncbigene3558;ncbigene915;ncbigene916;ncbigene919;ncbigene1493;ncbigene915;ncbigene3932;ncbigene942;ncbigene942;ncbigene5295;ncbigene940;ncbigene940;ncbigene3123;ncbigene2885;ncbigene3123;ncbigene3127;ncbigene5781;ncbigene941;ncbigene1493;ncbigene3932;ncbigene3702;ncbigene940;ncbigene5290;ncbigene942;ncbigene29851;ncbigene23308;ncbigene3122;ncbigene5781;ncbigene942;ncbigene942;ncbigene5295;ncbigene5295;ncbigene5295;ncbigene919;ncbigene2885
BIOCARTA_WNT_PATHWAY	M16517	ncbigene7088;ncbigene8945;ncbigene324;ncbigene6927;ncbigene1487;ncbigene1387;ncbigene1499;ncbigene1499;ncbigene324;ncbigene324;ncbigene2932;ncbigene5467;ncbigene5467;ncbigene5467;ncbigene8945;ncbigene1487;ncbigene1457;ncbigene1499;ncbigene2932;ncbigene4609;ncbigene5515;ncbigene6885;ncbigene8312;ncbigene8321;ncbigene8945;ncbigene1387;ncbigene1855;ncbigene3065;ncbigene7088;ncbigene4089;ncbigene7471;ncbigene10023;ncbigene10454;ncbigene5467;ncbigene11197;ncbigene51701;ncbigene8945;ncbigene595;ncbigene6885;ncbigene6885;ncbigene6885;ncbigene10454;ncbigene5467;ncbigene1457;ncbigene1457;ncbigene8312
BIOCARTA_PTC1_PATHWAY	M13022	ncbigene6469;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene983;ncbigene983;ncbigene4331;ncbigene902;ncbigene902;ncbigene983;ncbigene993;ncbigene995;ncbigene1022;ncbigene4331;ncbigene7514;ncbigene994;ncbigene994;ncbigene994;ncbigene995;ncbigene891;ncbigene983;ncbigene993
BIOCARTA_ACETAMINOPHEN_PATHWAY	M22024	ncbigene1544;ncbigene1571;ncbigene5742;ncbigene5743;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene9970;ncbigene5742;ncbigene5742;ncbigene5742;ncbigene5742;ncbigene5742;ncbigene9970;ncbigene5742
BIOCARTA_AKAPCENTROSOME_PATHWAY	M15347	ncbigene4133;ncbigene983;ncbigene983;ncbigene5571;ncbigene5571;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene387;ncbigene983;ncbigene4133;ncbigene5515;ncbigene5567;ncbigene5568;ncbigene5571;ncbigene5577;ncbigene5585;ncbigene5576;ncbigene5581;ncbigene10142;ncbigene5116;ncbigene79902;ncbigene4133;ncbigene4133;ncbigene983;ncbigene10142;ncbigene5567;ncbigene5567;ncbigene5585
BIOCARTA_CDC42RAC_PATHWAY	M5291	ncbigene5295;ncbigene5290;ncbigene998;ncbigene5058;ncbigene5295;ncbigene387;ncbigene998;ncbigene5058;ncbigene8976;ncbigene5156;ncbigene5290;ncbigene5879;ncbigene5879;ncbigene998;ncbigene5295;ncbigene5295;ncbigene5295
BIOCARTA_CTBP1_PATHWAY	M22019	ncbigene4842;ncbigene4842;ncbigene4842;ncbigene4842;ncbigene4842;ncbigene7341;ncbigene7341;ncbigene1487;ncbigene6935;ncbigene10055;ncbigene10055;ncbigene6935;ncbigene6935;ncbigene6935;ncbigene6935;ncbigene4842;ncbigene4842;ncbigene4842;ncbigene1487;ncbigene7329;ncbigene7341;ncbigene999;ncbigene10054;ncbigene10055;ncbigene6935;ncbigene7329;ncbigene7329;ncbigene7329
BIOCARTA_VOBESITY_PATHWAY	M22017	ncbigene2908;ncbigene4023;ncbigene7124;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene9370;ncbigene56729;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene3290;ncbigene6256;ncbigene9370;ncbigene5468;ncbigene3290;ncbigene5468;ncbigene56729;ncbigene5468;ncbigene5468;ncbigene3290
BIOCARTA_IRES_PATHWAY	M22028	ncbigene1974;ncbigene1982;ncbigene1977;ncbigene1977;ncbigene1982;ncbigene1981;ncbigene1981;ncbigene8672;ncbigene8672;ncbigene8672;ncbigene1973;ncbigene1973;ncbigene1982;ncbigene1974;ncbigene1977;ncbigene8661;ncbigene8672;ncbigene1981;ncbigene1981;ncbigene1981;ncbigene1981;ncbigene1981
BIOCARTA_ARAP_PATHWAY	M2482	ncbigene1314;ncbigene375;ncbigene375;ncbigene375;ncbigene116985;ncbigene1314;ncbigene116985;ncbigene8853;ncbigene26286;ncbigene8729;ncbigene8729;ncbigene50807;ncbigene2822;ncbigene375;ncbigene1212;ncbigene8853;ncbigene8729;ncbigene9265;ncbigene9266;ncbigene1314;ncbigene9267;ncbigene10564;ncbigene10565;ncbigene1212;ncbigene27128;ncbigene26286;ncbigene116984;ncbigene116985;ncbigene9267;ncbigene9266;ncbigene55738;ncbigene50807;ncbigene55738
BIOCARTA_ETS_PATHWAY	M14449	ncbigene1435;ncbigene10014;ncbigene9612;ncbigene3265;ncbigene2113;ncbigene2117;ncbigene25942;ncbigene25942;ncbigene2113;ncbigene9612;ncbigene2114;ncbigene3066;ncbigene1874;ncbigene3725;ncbigene5933;ncbigene1436;ncbigene1869;ncbigene2113;ncbigene2114;ncbigene2117;ncbigene2353;ncbigene3265;ncbigene10014;ncbigene9612;ncbigene11218;ncbigene23309;ncbigene25942;ncbigene1435;ncbigene1435;ncbigene1435;ncbigene3265;ncbigene5933
BIOCARTA_PITX2_PATHWAY	M8516	ncbigene8295;ncbigene5308;ncbigene324;ncbigene5308;ncbigene1387;ncbigene1499;ncbigene1499;ncbigene8861;ncbigene324;ncbigene324;ncbigene51176;ncbigene51176;ncbigene2932;ncbigene51176;ncbigene5308;ncbigene5308;ncbigene5308;ncbigene10524;ncbigene8295;ncbigene2033;ncbigene1499;ncbigene2932;ncbigene8295;ncbigene8312;ncbigene8321;ncbigene8861;ncbigene1387;ncbigene1855;ncbigene5469;ncbigene3065;ncbigene7471;ncbigene10524;ncbigene51176;ncbigene5308;ncbigene5308;ncbigene8312;ncbigene10524;ncbigene10524
