GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	M11444	ncbigene10332;ncbigene10437;ncbigene1509;ncbigene1510;ncbigene1514;ncbigene1515;ncbigene1520;ncbigene1636;ncbigene1785;ncbigene200576;ncbigene2207;ncbigene220972;ncbigene2213;ncbigene23457;ncbigene29108;ncbigene2923;ncbigene3077;ncbigene30835;ncbigene3105;ncbigene3106;ncbigene3107;ncbigene3108;ncbigene3109;ncbigene3111;ncbigene3112;ncbigene3113;ncbigene3115;ncbigene3117;ncbigene3118;ncbigene3119;ncbigene3120;ncbigene3122;ncbigene3123;ncbigene3127;ncbigene3133;ncbigene3134;ncbigene3135;ncbigene3136;ncbigene3140;ncbigene3416;ncbigene3551;ncbigene4012;ncbigene50856;ncbigene51128;ncbigene51752;ncbigene54209;ncbigene54842;ncbigene55016;ncbigene55080;ncbigene563;ncbigene5641;ncbigene567;ncbigene64167;ncbigene6556;ncbigene6890;ncbigene6891;ncbigene6892;ncbigene7189;ncbigene811;ncbigene8722;ncbigene972
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	M22773	ncbigene10991;ncbigene117247;ncbigene120103;ncbigene121260;ncbigene123096;ncbigene23428;ncbigene4948;ncbigene55238;ncbigene59272;ncbigene6520;ncbigene6541;ncbigene8140;ncbigene92745
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	M10260	ncbigene10437;ncbigene1509;ncbigene1510;ncbigene1514;ncbigene1515;ncbigene1520;ncbigene1785;ncbigene200576;ncbigene2207;ncbigene220972;ncbigene2213;ncbigene29108;ncbigene3108;ncbigene3109;ncbigene3111;ncbigene3112;ncbigene3113;ncbigene3115;ncbigene3117;ncbigene3118;ncbigene3119;ncbigene3120;ncbigene3122;ncbigene3123;ncbigene3127;ncbigene54209;ncbigene55016;ncbigene55207;ncbigene5641;ncbigene567;ncbigene7057;ncbigene7189;ncbigene8722;ncbigene972
GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	M29111	ncbigene10476;ncbigene10632;ncbigene134145;ncbigene267020;ncbigene30968;ncbigene432369;ncbigene4508;ncbigene4509;ncbigene498;ncbigene506;ncbigene509;ncbigene513;ncbigene514;ncbigene515;ncbigene516;ncbigene517;ncbigene518;ncbigene521;ncbigene522;ncbigene523;ncbigene527;ncbigene539;ncbigene65990;ncbigene84277;ncbigene9551;ncbigene9605
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	M10211	ncbigene10403;ncbigene1060;ncbigene10615;ncbigene1062;ncbigene11004;ncbigene147841;ncbigene151648;ncbigene1894;ncbigene22933;ncbigene23172;ncbigene27436;ncbigene283489;ncbigene29127;ncbigene3192;ncbigene324;ncbigene4751;ncbigene51115;ncbigene55920;ncbigene56155;ncbigene57082;ncbigene57405;ncbigene5925;ncbigene6795;ncbigene7756;ncbigene79003;ncbigene81620;ncbigene81929;ncbigene83540;ncbigene8379;ncbigene84142;ncbigene8678;ncbigene891;ncbigene90417;ncbigene91272;ncbigene9184;ncbigene9212;ncbigene998
GOBP_AMYLOID_BETA_CLEARANCE	M24753	ncbigene100302263;ncbigene10347;ncbigene1191;ncbigene1213;ncbigene1595;ncbigene3065;ncbigene3156;ncbigene3416;ncbigene3458;ncbigene3459;ncbigene348;ncbigene3480;ncbigene3565;ncbigene3643;ncbigene3684;ncbigene3689;ncbigene3949;ncbigene4035;ncbigene4036;ncbigene4038;ncbigene4043;ncbigene407040;ncbigene4311;ncbigene4481;ncbigene50487;ncbigene54209;ncbigene5868;ncbigene6093;ncbigene6722;ncbigene7124;ncbigene718;ncbigene7274;ncbigene728;ncbigene8301;ncbigene8685;ncbigene8766;ncbigene9230;ncbigene93649;ncbigene948
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	M11839	ncbigene1000;ncbigene10000;ncbigene100126351;ncbigene10013;ncbigene10014;ncbigene10016;ncbigene1003;ncbigene100302263;ncbigene100423036;ncbigene100506013;ncbigene1012;ncbigene10163;ncbigene10371;ncbigene10487;ncbigene10500;ncbigene10501;ncbigene10505;ncbigene10507;ncbigene10509;ncbigene10512;ncbigene10519;ncbigene10563;ncbigene10755;ncbigene10769;ncbigene10982;ncbigene11156;ncbigene11167;ncbigene11221;ncbigene11235;ncbigene114757;ncbigene116150;ncbigene117584;ncbigene1201;ncbigene130399;ncbigene14;ncbigene1432;ncbigene1460;ncbigene147372;ncbigene1512;ncbigene152007;ncbigene153090;ncbigene1545;ncbigene154796;ncbigene154810;ncbigene161198;ncbigene161742;ncbigene1634;ncbigene1647;ncbigene168667;ncbigene1793;ncbigene1803;ncbigene183;ncbigene1839;ncbigene186;ncbigene1906;ncbigene1907;ncbigene1908;ncbigene1909;ncbigene1910;ncbigene1942;ncbigene1947;ncbigene1948;ncbigene1950;ncbigene1954;ncbigene1960;ncbigene196740;ncbigene1969;ncbigene199953;ncbigene201161;ncbigene2013;ncbigene2022;ncbigene2039;ncbigene2050;ncbigene2066;ncbigene207;ncbigene2113;ncbigene2185;ncbigene2191;ncbigene2196;ncbigene223117;ncbigene2241;ncbigene2246;ncbigene2247;ncbigene2249;ncbigene2252;ncbigene2253;ncbigene2255;ncbigene2260;ncbigene22846;ncbigene22976;ncbigene2303;ncbigene23122;ncbigene23129;ncbigene23189;ncbigene2324;ncbigene23328;ncbigene23332;ncbigene2335;ncbigene23380;ncbigene23411;ncbigene23473;ncbigene2348;ncbigene23499;ncbigene23500;ncbigene23598;ncbigene23603;ncbigene23616;ncbigene2475;ncbigene25;ncbigene2523;ncbigene253943;ncbigene25865;ncbigene25930;ncbigene25959;ncbigene25960;ncbigene26060;ncbigene2624;ncbigene2625;ncbigene2637;ncbigene2658;ncbigene26585;ncbigene2668;ncbigene2697;ncbigene27086;ncbigene27161;ncbigene2719;ncbigene27286;ncbigene27302;ncbigene2752;ncbigene2768;ncbigene2821;ncbigene2822;ncbigene284;ncbigene284361;ncbigene285;ncbigene286204;ncbigene2876;ncbigene28956;ncbigene2896;ncbigene28984;ncbigene29775;ncbigene29941;ncbigene301;ncbigene3036;ncbigene3037;ncbigene306;ncbigene30812;ncbigene309;ncbigene3091;ncbigene3146;ncbigene3162;ncbigene3164;ncbigene3273;ncbigene3315;ncbigene335;ncbigene3357;ncbigene3373;ncbigene3397;ncbigene340719;ncbigene3458;ncbigene348;ncbigene350;ncbigene3565;ncbigene3611;ncbigene3640;ncbigene3670;ncbigene3673;ncbigene3675;ncbigene3676;ncbigene3688;ncbigene3690;ncbigene3691;ncbigene3695;ncbigene3725;ncbigene3728;ncbigene374969;ncbigene375056;ncbigene3791;ncbigene3815;ncbigene382;ncbigene3849;ncbigene3868;ncbigene387;ncbigene388;ncbigene3911;ncbigene393;ncbigene3964;ncbigene397;ncbigene4017;ncbigene4041;ncbigene406888;ncbigene406893;ncbigene406902;ncbigene406903;ncbigene406913;ncbigene406917;ncbigene406921;ncbigene406928;ncbigene406935;ncbigene406937;ncbigene406938;ncbigene406941;ncbigene406942;ncbigene406943;ncbigene406948;ncbigene406949;ncbigene406950;ncbigene406964;ncbigene406968;ncbigene406972;ncbigene406976;ncbigene406980;ncbigene406982;ncbigene406983;ncbigene406984;ncbigene406985;ncbigene406987;ncbigene406989;ncbigene406991;ncbigene406992;ncbigene406994;ncbigene4070;ncbigene407004;ncbigene407006;ncbigene407007;ncbigene407010;ncbigene407012;ncbigene407015;ncbigene407018;ncbigene407019;ncbigene407021;ncbigene407022;ncbigene407026;ncbigene407029;ncbigene407035;ncbigene407037;ncbigene407048;ncbigene411;ncbigene4163;ncbigene4204;ncbigene4208;ncbigene4215;ncbigene4223;ncbigene4233;ncbigene4254;ncbigene4318;ncbigene442890;ncbigene442891;ncbigene442909;ncbigene4627;ncbigene4763;ncbigene4780;ncbigene4838;ncbigene4846;ncbigene4851;ncbigene4856;ncbigene4902;ncbigene4921;ncbigene493;ncbigene494323;ncbigene494336;ncbigene498;ncbigene5025;ncbigene5048;ncbigene506;ncbigene5063;ncbigene51057;ncbigene51094;ncbigene51157;ncbigene51378;ncbigene51421;ncbigene51466;ncbigene5155;ncbigene51564;ncbigene5168;ncbigene5170;ncbigene5176;ncbigene5216;ncbigene5217;ncbigene5286;ncbigene5290;ncbigene5291;ncbigene5293;ncbigene5294;ncbigene5308;ncbigene5335;ncbigene5336;ncbigene5339;ncbigene5371;ncbigene54345;ncbigene54437;ncbigene54443;ncbigene54453;ncbigene54566;ncbigene54567;ncbigene5467;ncbigene5468;ncbigene54828;ncbigene54910;ncbigene55198;ncbigene55294;ncbigene55333;ncbigene55466;ncbigene5547;ncbigene55612;ncbigene55698;ncbigene5578;ncbigene5581;ncbigene5585;ncbigene5586;ncbigene5587;ncbigene55897;ncbigene55920;ncbigene5606;ncbigene5607;ncbigene5613;ncbigene5629;ncbigene5641;ncbigene56413;ncbigene5646;ncbigene56920;ncbigene56999;ncbigene57111;ncbigene57142;ncbigene57175;ncbigene5728;ncbigene57381;ncbigene5743;ncbigene574408;ncbigene574434;ncbigene574449;ncbigene574452;ncbigene574453;ncbigene574456;ncbigene57449;ncbigene574501;ncbigene574506;ncbigene574508;ncbigene5747;ncbigene575;ncbigene57556;ncbigene57608;ncbigene5764;ncbigene57669;ncbigene57715;ncbigene5781;ncbigene5793;ncbigene5797;ncbigene5801;ncbigene5829;ncbigene58495;ncbigene5872;ncbigene5879;ncbigene59;ncbigene5979;ncbigene60626;ncbigene6091;ncbigene6093;ncbigene619552;ncbigene6237;ncbigene6239;ncbigene6273;ncbigene6286;ncbigene634;ncbigene6385;ncbigene6405;ncbigene64094;ncbigene64218;ncbigene64321;ncbigene6469;ncbigene64750;ncbigene64805;ncbigene652;ncbigene6546;ncbigene655;ncbigene659;ncbigene65979;ncbigene6608;ncbigene664616;ncbigene6662;ncbigene6663;ncbigene6667;ncbigene6672;ncbigene6678;ncbigene6714;ncbigene6722;ncbigene6772;ncbigene6776;ncbigene6781;ncbigene6868;ncbigene6869;ncbigene6899;ncbigene6915;ncbigene693225;ncbigene6997;ncbigene7010;ncbigene7016;ncbigene7026;ncbigene7040;ncbigene7042;ncbigene7046;ncbigene7048;ncbigene7057;ncbigene7076;ncbigene708;ncbigene7101;ncbigene7114;ncbigene7124;ncbigene7162;ncbigene7264;ncbigene7291;ncbigene7422;ncbigene7424;ncbigene7429;ncbigene7474;ncbigene7476;ncbigene7481;ncbigene7763;ncbigene7857;ncbigene7869;ncbigene79812;ncbigene79899;ncbigene80005;ncbigene80031;ncbigene80149;ncbigene8092;ncbigene811;ncbigene83481;ncbigene83881;ncbigene8394;ncbigene84159;ncbigene8482;ncbigene84830;ncbigene84913;ncbigene8503;ncbigene85329;ncbigene85360;ncbigene8613;ncbigene8692;ncbigene8742;ncbigene8754;ncbigene8766;ncbigene8817;ncbigene8823;ncbigene8826;ncbigene8828;ncbigene8829;ncbigene8874;ncbigene8879;ncbigene889;ncbigene8929;ncbigene90;ncbigene90355;ncbigene9037;ncbigene90627;ncbigene91;ncbigene9124;ncbigene91862;ncbigene9219;ncbigene9270;ncbigene9314;ncbigene9350;ncbigene9353;ncbigene94;ncbigene9404;ncbigene9448;ncbigene9464;ncbigene9475;ncbigene949;ncbigene9530;ncbigene9564;ncbigene958;ncbigene9590;ncbigene9647;ncbigene9723;ncbigene9734;ncbigene9839;ncbigene9922;ncbigene9965;ncbigene998;ncbigene9982
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	M10380	ncbigene10406;ncbigene10407;ncbigene10417;ncbigene10563;ncbigene10578;ncbigene11005;ncbigene112744;ncbigene114771;ncbigene116842;ncbigene117285;ncbigene128488;ncbigene128820;ncbigene128821;ncbigene128822;ncbigene130120;ncbigene140686;ncbigene140823;ncbigene140832;ncbigene140850;ncbigene149708;ncbigene1511;ncbigene164237;ncbigene1667;ncbigene1668;ncbigene1669;ncbigene1670;ncbigene1671;ncbigene1672;ncbigene1673;ncbigene1755;ncbigene1991;ncbigene2147;ncbigene2243;ncbigene2244;ncbigene25818;ncbigene259239;ncbigene259240;ncbigene2597;ncbigene2627;ncbigene26525;ncbigene280664;ncbigene283;ncbigene28912;ncbigene2919;ncbigene2920;ncbigene2921;ncbigene3105;ncbigene3133;ncbigene3151;ncbigene3273;ncbigene3493;ncbigene3494;ncbigene3507;ncbigene3512;ncbigene354;ncbigene3576;ncbigene3605;ncbigene3627;ncbigene3853;ncbigene4057;ncbigene4069;ncbigene4283;ncbigene4589;ncbigene5068;ncbigene51297;ncbigene5196;ncbigene5197;ncbigene5225;ncbigene5266;ncbigene5319;ncbigene5473;ncbigene55012;ncbigene5645;ncbigene5646;ncbigene5650;ncbigene5657;ncbigene566;ncbigene57115;ncbigene5919;ncbigene5967;ncbigene5968;ncbigene602;ncbigene60343;ncbigene6036;ncbigene6037;ncbigene6039;ncbigene6156;ncbigene6170;ncbigene6223;ncbigene6278;ncbigene6280;ncbigene6283;ncbigene6357;ncbigene6372;ncbigene6373;ncbigene6374;ncbigene6406;ncbigene6407;ncbigene64127;ncbigene6441;ncbigene653423;ncbigene6556;ncbigene6590;ncbigene7018;ncbigene728358;ncbigene730249;ncbigene78989;ncbigene81623;ncbigene820;ncbigene8339;ncbigene8343;ncbigene8344;ncbigene8346;ncbigene8347;ncbigene8349;ncbigene8398;ncbigene84659;ncbigene85236;ncbigene85569;ncbigene8970;ncbigene8993;ncbigene9547
GOBP_ARGININE_METABOLIC_PROCESS	M29035	ncbigene1201;ncbigene162417;ncbigene2184;ncbigene23564;ncbigene23576;ncbigene383;ncbigene384;ncbigene406991;ncbigene420;ncbigene435;ncbigene445;ncbigene4842;ncbigene4843;ncbigene4846;ncbigene493;ncbigene4942;ncbigene5009;ncbigene64116;ncbigene79814;ncbigene9056
GOBP_AORTIC_VALVE_MORPHOGENESIS	M40337	ncbigene11117;ncbigene140628;ncbigene1482;ncbigene182;ncbigene1942;ncbigene2006;ncbigene23462;ncbigene23493;ncbigene2625;ncbigene2626;ncbigene26508;ncbigene4091;ncbigene4772;ncbigene4846;ncbigene4851;ncbigene4878;ncbigene54567;ncbigene57057;ncbigene5925;ncbigene6091;ncbigene6092;ncbigene6093;ncbigene652;ncbigene6586;ncbigene6591;ncbigene6615;ncbigene6662;ncbigene7040;ncbigene7075;ncbigene7291;ncbigene9353;ncbigene9475
