KEGG_GALACTOSE_METABOLISM	M4377	ncbigene231;ncbigene2538;ncbigene2548;ncbigene2582;ncbigene2584;ncbigene2585;ncbigene2592;ncbigene2595;ncbigene2645;ncbigene2683;ncbigene2717;ncbigene2720;ncbigene3098;ncbigene3099;ncbigene3101;ncbigene3906;ncbigene3938;ncbigene5211;ncbigene5213;ncbigene5214;ncbigene5236;ncbigene55276;ncbigene57818;ncbigene7360;ncbigene8704;ncbigene8972
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	M11444	ncbigene10332;ncbigene10437;ncbigene1509;ncbigene1510;ncbigene1514;ncbigene1515;ncbigene1520;ncbigene1636;ncbigene1785;ncbigene200576;ncbigene2207;ncbigene220972;ncbigene2213;ncbigene23457;ncbigene29108;ncbigene2923;ncbigene3077;ncbigene30835;ncbigene3105;ncbigene3106;ncbigene3107;ncbigene3108;ncbigene3109;ncbigene3111;ncbigene3112;ncbigene3113;ncbigene3115;ncbigene3117;ncbigene3118;ncbigene3119;ncbigene3120;ncbigene3122;ncbigene3123;ncbigene3127;ncbigene3133;ncbigene3134;ncbigene3135;ncbigene3136;ncbigene3140;ncbigene3416;ncbigene3551;ncbigene4012;ncbigene50856;ncbigene51128;ncbigene51752;ncbigene54209;ncbigene54842;ncbigene55016;ncbigene55080;ncbigene563;ncbigene5641;ncbigene567;ncbigene64167;ncbigene6556;ncbigene6890;ncbigene6891;ncbigene6892;ncbigene7189;ncbigene811;ncbigene8722;ncbigene972
BIOCARTA_RECK_PATHWAY	M22068	ncbigene7078;ncbigene4313;ncbigene3265;ncbigene7076;ncbigene7077;ncbigene7079;ncbigene4313;ncbigene4318;ncbigene4323;ncbigene3265;ncbigene8434;ncbigene3265
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	M7399	ncbigene10720;ncbigene10941;ncbigene124454;ncbigene1352;ncbigene1355;ncbigene1356;ncbigene1371;ncbigene2058;ncbigene210;ncbigene211;ncbigene212;ncbigene2235;ncbigene2495;ncbigene2990;ncbigene3052;ncbigene3145;ncbigene3162;ncbigene3163;ncbigene326625;ncbigene54490;ncbigene54575;ncbigene54576;ncbigene54577;ncbigene54578;ncbigene54579;ncbigene54600;ncbigene54657;ncbigene54658;ncbigene54659;ncbigene5498;ncbigene644;ncbigene645;ncbigene7363;ncbigene7364;ncbigene7365;ncbigene7366;ncbigene7367;ncbigene7389;ncbigene7390;ncbigene79799;ncbigene94033
BIOCARTA_AMI_PATHWAY	M15394	ncbigene1285;ncbigene1286;ncbigene2155;ncbigene5340;ncbigene5624;ncbigene5627;ncbigene462;ncbigene1287;ncbigene2159;ncbigene2147;ncbigene2243;ncbigene2266;ncbigene5327;ncbigene7035;ncbigene5340;ncbigene2244;ncbigene2155;ncbigene1282;ncbigene1284;ncbigene1288;ncbigene2149;ncbigene2244;ncbigene7035;ncbigene51327;ncbigene2155;ncbigene2266;ncbigene2243;ncbigene5327;ncbigene1287;ncbigene1288
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	M22773	ncbigene10991;ncbigene117247;ncbigene120103;ncbigene121260;ncbigene123096;ncbigene23428;ncbigene4948;ncbigene55238;ncbigene59272;ncbigene6520;ncbigene6541;ncbigene8140;ncbigene92745
PID_TNF_PATHWAY	M128	ncbigene5609;ncbigene3551;ncbigene1147;ncbigene6885;ncbigene6610;ncbigene9530;ncbigene9448;ncbigene7124;ncbigene7295;ncbigene6609;ncbigene7132;ncbigene4790;ncbigene7133;ncbigene7128;ncbigene5584;ncbigene6772;ncbigene5606;ncbigene10399;ncbigene6868;ncbigene857;ncbigene5970;ncbigene5590;ncbigene5871;ncbigene7186;ncbigene7185;ncbigene8772;ncbigene4214;ncbigene330;ncbigene329;ncbigene8878;ncbigene8737;ncbigene841;ncbigene8717;ncbigene10454;ncbigene203447;ncbigene8491;ncbigene8567;ncbigene117584;ncbigene8439;ncbigene4217;ncbigene4215;ncbigene1540;ncbigene23118;ncbigene23043;ncbigene11183;ncbigene8517
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	M4361	ncbigene10991;ncbigene1468;ncbigene23439;ncbigene27165;ncbigene2744;ncbigene2746;ncbigene2747;ncbigene358;ncbigene4190;ncbigene476;ncbigene477;ncbigene478;ncbigene480;ncbigene481;ncbigene482;ncbigene483;ncbigene486;ncbigene5105;ncbigene5106;ncbigene6550;ncbigene760;ncbigene762;ncbigene8671
PID_RB_1PATHWAY	M279	ncbigene8535;ncbigene1871;ncbigene8841;ncbigene6839;ncbigene4286;ncbigene25;ncbigene632;ncbigene5894;ncbigene1437;ncbigene3725;ncbigene5925;ncbigene1158;ncbigene4233;ncbigene1019;ncbigene4654;ncbigene1386;ncbigene7343;ncbigene11016;ncbigene1051;ncbigene6688;ncbigene6908;ncbigene890;ncbigene6872;ncbigene5077;ncbigene595;ncbigene898;ncbigene1017;ncbigene6046;ncbigene1786;ncbigene894;ncbigene896;ncbigene1997;ncbigene6441;ncbigene5468;ncbigene1026;ncbigene1029;ncbigene5601;ncbigene1027;ncbigene1050;ncbigene1052;ncbigene5948;ncbigene6597;ncbigene145258;ncbigene7042;ncbigene5515;ncbigene1021;ncbigene4193;ncbigene1869;ncbigene4208;ncbigene5928;ncbigene2033;ncbigene6598;ncbigene6502;ncbigene1487;ncbigene3065;ncbigene860;ncbigene7027;ncbigene1870;ncbigene5600;ncbigene1874;ncbigene1432;ncbigene1387;ncbigene23411;ncbigene26574;ncbigene28227
PID_THROMBIN_PAR1_PATHWAY	M238	ncbigene2151;ncbigene6643;ncbigene9475;ncbigene9630;ncbigene2147;ncbigene2771;ncbigene5582;ncbigene5579;ncbigene2773;ncbigene2775;ncbigene4633;ncbigene5578;ncbigene2781;ncbigene2149;ncbigene5295;ncbigene4846;ncbigene2767;ncbigene2769;ncbigene157;ncbigene5290;ncbigene408;ncbigene2776;ncbigene7408;ncbigene1785;ncbigene396;ncbigene54331;ncbigene387;ncbigene2782;ncbigene2770;ncbigene5330;ncbigene5331;ncbigene2768;ncbigene1759;ncbigene5580;ncbigene11214;ncbigene6093;ncbigene6642;ncbigene10672;ncbigene7791;ncbigene5585;ncbigene9138;ncbigene23236;ncbigene7225
