PID_TNF_PATHWAY	M128	ncbigene5609;ncbigene3551;ncbigene1147;ncbigene6885;ncbigene6610;ncbigene9530;ncbigene9448;ncbigene7124;ncbigene7295;ncbigene6609;ncbigene7132;ncbigene4790;ncbigene7133;ncbigene7128;ncbigene5584;ncbigene6772;ncbigene5606;ncbigene10399;ncbigene6868;ncbigene857;ncbigene5970;ncbigene5590;ncbigene5871;ncbigene7186;ncbigene7185;ncbigene8772;ncbigene4214;ncbigene330;ncbigene329;ncbigene8878;ncbigene8737;ncbigene841;ncbigene8717;ncbigene10454;ncbigene203447;ncbigene8491;ncbigene8567;ncbigene117584;ncbigene8439;ncbigene4217;ncbigene4215;ncbigene1540;ncbigene23118;ncbigene23043;ncbigene11183;ncbigene8517
PID_RB_1PATHWAY	M279	ncbigene8535;ncbigene1871;ncbigene8841;ncbigene6839;ncbigene4286;ncbigene25;ncbigene632;ncbigene5894;ncbigene1437;ncbigene3725;ncbigene5925;ncbigene1158;ncbigene4233;ncbigene1019;ncbigene4654;ncbigene1386;ncbigene7343;ncbigene11016;ncbigene1051;ncbigene6688;ncbigene6908;ncbigene890;ncbigene6872;ncbigene5077;ncbigene595;ncbigene898;ncbigene1017;ncbigene6046;ncbigene1786;ncbigene894;ncbigene896;ncbigene1997;ncbigene6441;ncbigene5468;ncbigene1026;ncbigene1029;ncbigene5601;ncbigene1027;ncbigene1050;ncbigene1052;ncbigene5948;ncbigene6597;ncbigene145258;ncbigene7042;ncbigene5515;ncbigene1021;ncbigene4193;ncbigene1869;ncbigene4208;ncbigene5928;ncbigene2033;ncbigene6598;ncbigene6502;ncbigene1487;ncbigene3065;ncbigene860;ncbigene7027;ncbigene1870;ncbigene5600;ncbigene1874;ncbigene1432;ncbigene1387;ncbigene23411;ncbigene26574;ncbigene28227
PID_THROMBIN_PAR1_PATHWAY	M238	ncbigene2151;ncbigene6643;ncbigene9475;ncbigene9630;ncbigene2147;ncbigene2771;ncbigene5582;ncbigene5579;ncbigene2773;ncbigene2775;ncbigene4633;ncbigene5578;ncbigene2781;ncbigene2149;ncbigene5295;ncbigene4846;ncbigene2767;ncbigene2769;ncbigene157;ncbigene5290;ncbigene408;ncbigene2776;ncbigene7408;ncbigene1785;ncbigene396;ncbigene54331;ncbigene387;ncbigene2782;ncbigene2770;ncbigene5330;ncbigene5331;ncbigene2768;ncbigene1759;ncbigene5580;ncbigene11214;ncbigene6093;ncbigene6642;ncbigene10672;ncbigene7791;ncbigene5585;ncbigene9138;ncbigene23236;ncbigene7225
PID_PLK1_PATHWAY	M129	ncbigene23145;ncbigene3796;ncbigene10403;ncbigene6790;ncbigene4659;ncbigene9055;ncbigene699;ncbigene701;ncbigene8555;ncbigene9475;ncbigene10112;ncbigene983;ncbigene7178;ncbigene891;ncbigene7283;ncbigene5518;ncbigene7465;ncbigene994;ncbigene995;ncbigene5347;ncbigene387;ncbigene5500;ncbigene5861;ncbigene5515;ncbigene1062;ncbigene2801;ncbigene991;ncbigene5058;ncbigene55857;ncbigene54821;ncbigene4957;ncbigene151648;ncbigene79866;ncbigene79682;ncbigene10735;ncbigene147841;ncbigene64689;ncbigene1894;ncbigene63967;ncbigene3619;ncbigene23291;ncbigene26271;ncbigene22974;ncbigene51343;ncbigene10726;ncbigene22981
PID_INTEGRIN1_PATHWAY	M18	ncbigene3911;ncbigene8515;ncbigene2162;ncbigene5328;ncbigene1277;ncbigene1280;ncbigene1281;ncbigene1282;ncbigene2243;ncbigene2244;ncbigene2266;ncbigene2335;ncbigene7448;ncbigene3688;ncbigene1290;ncbigene3685;ncbigene3912;ncbigene7057;ncbigene1278;ncbigene929;ncbigene3678;ncbigene6696;ncbigene3915;ncbigene1301;ncbigene1291;ncbigene1292;ncbigene1293;ncbigene3676;ncbigene1302;ncbigene4811;ncbigene7422;ncbigene3673;ncbigene7412;ncbigene1289;ncbigene4192;ncbigene7052;ncbigene3655;ncbigene3908;ncbigene3371;ncbigene284217;ncbigene3675;ncbigene1287;ncbigene7058;ncbigene2200;ncbigene80781;ncbigene1286;ncbigene8516;ncbigene3913;ncbigene3672;ncbigene58494;ncbigene975;ncbigene1285;ncbigene1294;ncbigene5329;ncbigene3679;ncbigene3914;ncbigene3918;ncbigene3680;ncbigene1288;ncbigene7045;ncbigene3910;ncbigene3909;ncbigene1464;ncbigene255743;ncbigene93185;ncbigene22801
PID_RETINOIC_ACID_PATHWAY	M207	ncbigene8841;ncbigene5582;ncbigene983;ncbigene5947;ncbigene5914;ncbigene5915;ncbigene7421;ncbigene5916;ncbigene5578;ncbigene5566;ncbigene6256;ncbigene5595;ncbigene5594;ncbigene6257;ncbigene207;ncbigene5599;ncbigene6258;ncbigene8204;ncbigene1022;ncbigene902;ncbigene4331;ncbigene2033;ncbigene3065;ncbigene10499;ncbigene8648;ncbigene1432;ncbigene1387;ncbigene8850;ncbigene9612;ncbigene8202
PID_WNT_NONCANONICAL_PATHWAY	M23	ncbigene1855;ncbigene1856;ncbigene6885;ncbigene8323;ncbigene8324;ncbigene7525;ncbigene2316;ncbigene409;ncbigene5468;ncbigene7474;ncbigene5599;ncbigene5601;ncbigene1452;ncbigene5602;ncbigene998;ncbigene387;ncbigene5879;ncbigene4920;ncbigene5590;ncbigene6093;ncbigene7855;ncbigene4773;ncbigene2535;ncbigene9869;ncbigene10454;ncbigene1857;ncbigene115908;ncbigene23118;ncbigene55636;ncbigene51701;ncbigene815;ncbigene23002
PID_IL2_1PATHWAY	M122	ncbigene8835;ncbigene9021;ncbigene8651;ncbigene9046;ncbigene10254;ncbigene2353;ncbigene4609;ncbigene4893;ncbigene3265;ncbigene3845;ncbigene3458;ncbigene3559;ncbigene5894;ncbigene3725;ncbigene5579;ncbigene3932;ncbigene2534;ncbigene596;ncbigene3560;ncbigene5921;ncbigene3716;ncbigene1017;ncbigene5595;ncbigene5295;ncbigene5594;ncbigene6464;ncbigene3561;ncbigene3667;ncbigene5605;ncbigene6774;ncbigene6772;ncbigene6776;ncbigene5290;ncbigene6850;ncbigene5599;ncbigene5601;ncbigene9261;ncbigene6777;ncbigene3718;ncbigene3558;ncbigene387;ncbigene2885;ncbigene5581;ncbigene5604;ncbigene5781;ncbigene6654;ncbigene2185;ncbigene5528;ncbigene5600;ncbigene1432;ncbigene8027;ncbigene1154;ncbigene22806;ncbigene9846;ncbigene8660
PID_AR_NONGENOMIC_PATHWAY	M213	ncbigene2353;ncbigene3265;ncbigene2796;ncbigene5894;ncbigene6462;ncbigene2771;ncbigene2773;ncbigene2775;ncbigene367;ncbigene6714;ncbigene1385;ncbigene5336;ncbigene2781;ncbigene5335;ncbigene5595;ncbigene5295;ncbigene5594;ncbigene207;ncbigene5605;ncbigene5290;ncbigene54331;ncbigene998;ncbigene2782;ncbigene5879;ncbigene2770;ncbigene5330;ncbigene5331;ncbigene5604;ncbigene5747;ncbigene27043;ncbigene23236
PID_ATR_PATHWAY	M46	ncbigene23145;ncbigene1111;ncbigene5810;ncbigene3364;ncbigene4683;ncbigene5884;ncbigene6118;ncbigene890;ncbigene1017;ncbigene6117;ncbigene5518;ncbigene993;ncbigene995;ncbigene7529;ncbigene4176;ncbigene5984;ncbigene5982;ncbigene5985;ncbigene5983;ncbigene4171;ncbigene675;ncbigene5347;ncbigene7534;ncbigene5515;ncbigene5521;ncbigene4193;ncbigene5888;ncbigene545;ncbigene84126;ncbigene11073;ncbigene5883;ncbigene990;ncbigene54962;ncbigene2177;ncbigene63967;ncbigene50485;ncbigene23291;ncbigene8914;ncbigene22897
