,0,1
0,Gene,4377
1,Gene,231
2,Gene,2538
3,Gene,2548
4,Gene,2582
5,Gene,2584
6,Gene,2585
7,Gene,2592
8,Gene,2595
9,Gene,2645
10,Gene,2683
11,Gene,2717
12,Gene,2720
13,Gene,3098
14,Gene,3099
15,Gene,3101
16,Gene,3906
17,Gene,3938
18,Gene,5211
19,Gene,5213
20,Gene,5214
21,Gene,5236
22,Gene,55276
23,Gene,57818
24,Gene,7360
25,Gene,8704
26,Gene,8972
27,Gene,7399
28,Gene,10720
29,Gene,10941
30,Gene,124454
31,Gene,1352
32,Gene,1355
33,Gene,1356
34,Gene,1371
35,Gene,2058
36,Gene,210
37,Gene,211
38,Gene,212
39,Gene,2235
40,Gene,2495
41,Gene,2990
42,Gene,3052
43,Gene,3145
44,Gene,3162
45,Gene,3163
46,Gene,326625
47,Gene,54490
48,Gene,54575
49,Gene,54576
50,Gene,54577
51,Gene,54578
52,Gene,54579
53,Gene,54600
54,Gene,54657
55,Gene,54658
56,Gene,54659
57,Gene,5498
58,Gene,644
59,Gene,645
60,Gene,7363
61,Gene,7364
62,Gene,7365
63,Gene,7366
64,Gene,7367
65,Gene,7389
66,Gene,7390
67,Gene,79799
68,Gene,94033
69,Gene,4361
70,Gene,10991
71,Gene,1468
72,Gene,23439
73,Gene,27165
74,Gene,2744
75,Gene,2746
76,Gene,2747
77,Gene,358
78,Gene,4190
79,Gene,476
80,Gene,477
81,Gene,478
82,Gene,480
83,Gene,481
84,Gene,482
85,Gene,483
86,Gene,486
87,Gene,5105
88,Gene,5106
89,Gene,6550
90,Gene,760
91,Gene,762
92,Gene,8671
93,Gene,1519
94,Gene,10015
95,Gene,10059
96,Gene,10193
97,Gene,10254
98,Gene,10617
99,Gene,10938
100,Gene,11031
101,Gene,11059
102,Gene,11267
103,Gene,11311
104,Gene,116983
105,Gene,116984
106,Gene,116985
107,Gene,116986
108,Gene,116987
109,Gene,1173
110,Gene,1175
111,Gene,1211
112,Gene,1212
113,Gene,1213
114,Gene,1234
115,Gene,128866
116,Gene,131890
117,Gene,137492
118,Gene,1436
119,Gene,153
120,Gene,154
121,Gene,155
122,Gene,155382
123,Gene,156
124,Gene,157
125,Gene,160
126,Gene,1601
127,Gene,161
128,Gene,163
129,Gene,1759
130,Gene,1785
131,Gene,1950
132,Gene,1956
133,Gene,200576
134,Gene,2060
135,Gene,2065
136,Gene,2066
137,Gene,2149
138,Gene,2261
139,Gene,2263
140,Gene,2264
141,Gene,22841
142,Gene,22905
143,Gene,23096
144,Gene,2321
145,Gene,23327
146,Gene,23362
147,Gene,23396
148,Gene,23527
149,Gene,23550
150,Gene,23624
151,Gene,25978
152,Gene,26052
153,Gene,26056
154,Gene,26119
155,Gene,26286
156,Gene,27183
157,Gene,27243
158,Gene,2868
159,Gene,2869
160,Gene,2870
161,Gene,28964
162,Gene,29082
163,Gene,29924
164,Gene,30011
165,Gene,30844
166,Gene,30845
167,Gene,30846
168,Gene,3105
169,Gene,3106
170,Gene,3107
171,Gene,3133
172,Gene,3134
173,Gene,3135
174,Gene,3265
175,Gene,3303
176,Gene,3304
177,Gene,3305
178,Gene,3306
179,Gene,3310
180,Gene,3312
181,Gene,3480
182,Gene,3559
183,Gene,3560
184,Gene,3561
185,Gene,3577
186,Gene,3579
187,Gene,3791
188,Gene,3815
189,Gene,382
190,Gene,3949
191,Gene,408
192,Gene,409
193,Gene,4193
194,Gene,4233
195,Gene,440073
196,Gene,4734
197,Gene,4914
198,Gene,50807
199,Gene,50855
200,Gene,51028
201,Gene,51100
202,Gene,51160
203,Gene,51510
204,Gene,51534
205,Gene,5156
206,Gene,51652
207,Gene,5337
208,Gene,5338
209,Gene,55040
210,Gene,55048
211,Gene,55616
212,Gene,55738
213,Gene,5584
214,Gene,5590
215,Gene,56288
216,Gene,5662
217,Gene,56904
218,Gene,57132
219,Gene,57154
220,Gene,57403
221,Gene,5867
222,Gene,5868
223,Gene,5869
224,Gene,5878
225,Gene,5979
226,Gene,6011
227,Gene,60682
228,Gene,64145
229,Gene,64411
230,Gene,6455
231,Gene,6456
232,Gene,6457
233,Gene,64744
234,Gene,64750
235,Gene,6714
236,Gene,7037
237,Gene,7189
238,Gene,7251
239,Gene,7852
240,Gene,79643
241,Gene,79720
242,Gene,80223
243,Gene,80230
244,Gene,8027
245,Gene,8218
246,Gene,83737
247,Gene,8394
248,Gene,8395
249,Gene,8396
250,Gene,8411
251,Gene,84249
252,Gene,84313
253,Gene,84364
254,Gene,84440
255,Gene,84552
256,Gene,84612
257,Gene,867
258,Gene,868
259,Gene,8766
260,Gene,8853
261,Gene,89853
