D020943	AIDS Arteritis, Central Nervous System
D015526	AIDS Dementia Complex
D016263	AIDS-Associated Nephropathy
D000386	AIDS-Related Complex
D017088	AIDS-Related Opportunistic Infections
D018784	Abdominal Abscess
D000031	Abortion, Septic
D000038	Abscess
D015823	Acanthamoeba Keratitis
D063485	Acanthocheilonemiasis
D000151	Acinetobacter Infections
D000163	Acquired Immunodeficiency Syndrome
D000187	Actinobacillosis
D000189	Actinobacillus Infections
D000193	Actinomycetales Infections
D000196	Actinomycosis
D000197	Actinomycosis, Cervicofacial
D000071297	Acute Retroviral Syndrome
D017188	Adenophorea Infections
D000257	Adenoviridae Infections
D000258	Adenovirus Infections, Human
D000355	African Horse Sickness
D000357	African Swine Fever
D000453	Aleutian Mink Disease
D059707	Aliivibrio Infections
D018354	Alphavirus Infections
D060487	Alternariosis
D000562	Amebiasis
D000711	Anaplasmataceae Infections
D000712	Anaplasmosis
D000724	Ancylostomiasis
D000785	Aneurysm, Infected
D016917	Angiomatosis, Bacillary
D017129	Anisakiasis
D000881	Anthrax
D001064	Appendicitis
D001102	Arbovirus Infections
D001117	Arenaviridae Infections
D018174	Arterivirus Infections
D001170	Arthritis, Infectious
D016918	Arthritis, Reactive
D001196	Ascariasis
D001198	Ascaridiasis
D017191	Ascaridida Infections
D001228	Aspergillosis
D001229	Aspergillosis, Allergic Bronchopulmonary
D019350	Astroviridae Infections
D058345	Asymptomatic Infections
D001353	Avian Leukosis
D045463	Avulavirus Infections
D001404	Babesiosis
D016863	Bacillaceae Infections
D016470	Bacteremia
D001424	Bacterial Infections
D001423	Bacterial Infections and Mycoses
D000086966	Bacterial Zoonoses
D001437	Bacteriuria
D016866	Bacteroidaceae Infections
D001442	Bacteroides Infections
D001447	Balantidiasis
D001474	Bartonella Infections
D001476	Bartonellaceae Infections
D020330	Bell Palsy
D039941	Bifidobacteriales Infections
D018175	Birnaviridae Infections
D001742	Blackwater Fever
D016776	Blastocystis Infections
D001759	Blastomycosis
D000086982	Blood-Borne Infections
D001819	Bluetongue
D001850	Bone Diseases, Infectious
D001882	Border Disease
D001885	Bordetella Infections
D001890	Borna Disease
D001899	Borrelia Infections
D001906	Botulism
D001907	Boutonneuse Fever
D048090	Bovine Respiratory Disease Complex
D001912	Bovine Virus Diarrhea-Mucosal Disease
D001922	Brain Abscess
D001988	Bronchiolitis
D001990	Bronchiolitis, Viral
D001991	Bronchitis
D029481	Bronchitis, Chronic
D001996	Bronchopneumonia
D002006	Brucellosis
D002007	Brucellosis, Bovine
D002044	Bunyaviridae Infections
D019121	Burkholderia Infections
D002051	Burkitt Lymphoma
D054312	Buruli Ulcer
D062688	Buschke-Lowenstein Tumor
D000086382	COVID-19
D017250	Caliciviridae Infections
D002169	Campylobacter Infections
D058387	Candidemia
D002177	Candidiasis
D002178	Candidiasis, Chronic Mucocutaneous
D002179	Candidiasis, Cutaneous
D058365	Candidiasis, Invasive
D002180	Candidiasis, Oral
D002181	Candidiasis, Vulvovaginal
D002270	Carbuncle
D015266	Carcinoma, Merkel Cell
D053821	Cardiovascular Infections
D018188	Cardiovirus Infections
D002372	Cat-Scratch Disease
D055499	Catheter-Related Infections
D002481	Cellulitis
D020806	Central Nervous System Bacterial Infections
D020314	Central Nervous System Fungal Infections
D020809	Central Nervous System Helminthiasis
D002494	Central Nervous System Infections
D020807	Central Nervous System Parasitic Infections
D020808	Central Nervous System Protozoal Infections
