name	comparisons	concepts	mean_distance_pm	mean_distance_wn	pval
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	105	15	0.183156109966991	0.20049452469778462	0.15272410416362053
GOBP_ACTIN_NUCLEATION	1275	51	0.20643827309943233	0.20032898749175823	0.1387894671739176
GOBP_AUTOPHAGOSOME_MATURATION	1770	60	0.19292753416450634	0.1925141231629879	0.8983605862399284
GOBP_ACROSOME_REACTION	666	37	0.20712033123630663	0.21909284699174	0.039119417906698505
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	45	10	0.2148852257049761	0.15757284750347333	0.004757685031418368
GOBP_ACTIVATED_T_CELL_PROLIFERATION	1225	50	0.17232468959842726	0.19841939548492557	7.0846337605997864e-12
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	21	7	0.18919640157723894	0.22886790661615353	0.19713041363042894
GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY	21	7	0.1899217654370487	0.1738157335663837	0.5871524085038184
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	990	45	0.1927878811244657	0.19321554344151184	0.9176017064844006
GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION	15	6	0.2206750119329679	0.21740186576711157	0.8924632027870476
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	28	8	0.20785789118428508	0.2100395547776697	0.9368553342528838
GOBP_ASTROCYTE_DEVELOPMENT	903	43	0.19199535200719015	0.19776157133341113	0.17005732452698843
GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS	15	6	0.1694714959159107	0.19022571754514803	0.5061213075885747
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY	15	6	0.1954336193195444	0.21046593367478345	0.5701743249429563
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	36	9	0.20095386622564557	0.16906355731237355	0.14704360957363213
GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT	28	8	0.17894262922723733	0.22214325147299238	0.09528141440009705
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	990	45	0.19131032968352937	0.19166211277261871	0.9298951147537236
GOBP_AMINO_ACID_HOMEOSTASIS	21	7	0.17816215028930793	0.17870103295118822	0.9840166033444516
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING	21	7	0.19321525174551968	0.18257239305899034	0.6557362116549327
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	91	14	0.18575008413955843	0.22688886665564548	0.004217221330685081
GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION	28	8	0.16573696749040737	0.21603586431804156	0.0335905060540589
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	3160	80	0.21973709501939878	0.22556395595187606	0.03957347050790748
GOBP_AMINE_TRANSPORT	4851	99	0.19115851650441457	0.1983272814127434	0.0001228128090209264
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	465	31	0.20572812665194026	0.2083988681653913	0.6609960882096704
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	55	11	0.179641142257533	0.16509518495744308	0.44797015788825456
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	15	6	0.16098033340055612	0.2252822295332865	0.056878377540494664
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	21	7	0.18007964346515973	0.1336406270775182	0.1159352995835264
GOBP_ATP_TRANSPORT	120	16	0.2065755506722855	0.2061331876714462	0.9703348431269283
GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	351	27	0.18968177067468425	0.20156879529588803	0.10591278388319945
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION	21	7	0.22262234959502292	0.20171383037525176	0.44938957249529343
GOBP_AUTOCRINE_SIGNALING	21	7	0.18953476876701314	0.2274125110988018	0.2371070743011325
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	1128	48	0.19309511318462233	0.19589875934525086	0.5021979677224679
GOBP_ACTIN_FILAMENT_POLYMERIZATION	13203	163	0.20180205047160613	0.1995461095759486	0.06473089656643007
GOBP_AMYLOID_BETA_FORMATION	1540	56	0.18677054184287833	0.1976543550894374	0.0011569897336502156
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	351	27	0.1910402285259213	0.186252860623634	0.45392168794511734
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	55	11	0.2165711749954459	0.2010578080803672	0.4502527944336101
GOBP_ADHERENS_JUNCTION_ASSEMBLY	66	12	0.19397384636320608	0.1832733341848846	0.5105378362878757
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	6105	111	0.195186787070494	0.2013503830213096	0.00022216168879113406
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	703	38	0.21689443244961212	0.20616107079662335	0.055882194044810415
GOBP_APOPTOTIC_SIGNALING_PATHWAY	171991	587	0.19130763646573024	0.19470303249156048	6.585028175306062e-27
GOBP_ABSCISSION	15	6	0.1633044050995488	0.21597853968745453	0.25150168762788927
GOBP_AMINO_ACID_BETAINE_TRANSPORT	28	8	0.20406624701296613	0.18603157530663925	0.4754551028065398
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION	28	8	0.173771957036692	0.1801901583560896	0.8081075533625702
GOBP_ANOIKIS	561	34	0.1875931935212448	0.19400443611132684	0.2356530873434044
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	36	9	0.1824420330624949	0.16893065460124068	0.49750097221171063
GOBP_ALDEHYDE_CATABOLIC_PROCESS	78	13	0.16716259047537824	0.20021798669005228	0.07868741392028701
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	9870	141	0.1945634430901498	0.19137553279185338	0.0164900822282098
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	120	16	0.16876100788847506	0.20388310158724496	0.0019357638240175236
GOBP_ANATOMICAL_STRUCTURE_MATURATION	28920	241	0.19171575152184026	0.20043928322999946	6.71922661191202e-28
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	3916	89	0.20745452187878133	0.21706588203076832	6.834518299912502e-05
GOBP_APOPTOTIC_CELL_CLEARANCE	1275	51	0.1857363327905162	0.1930900436363293	0.042144873901188824
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	21	7	0.18468778177062273	0.1791123725331245	0.8328834710571935
GOBP_2FE_2S_CLUSTER_ASSEMBLY	15	6	0.2615862227717788	0.21558074170315158	0.2510573497051526
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	78	13	0.2564009971140349	0.27612334843819447	0.3243171510881194
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	171	19	0.18504203755683357	0.19067199573828242	0.5573190615275345
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	378	28	0.20925248072700833	0.1937865017040822	0.018493583258384298
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	171	19	0.17310998611000128	0.17908468304158529	0.5757772446777112
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	406	29	0.18677456897161035	0.19335207132757487	0.29030822170990345
GOBP_ATP_BIOSYNTHETIC_PROCESS	1485	55	0.20830681127316708	0.21313430212716056	0.22105092732956957
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	55	11	0.15923299854307635	0.16287687247845278	0.8173329121541649
GOBP_AMACRINE_CELL_DIFFERENTIATION	28	8	0.2030207025438524	0.1732971140362851	0.3371655374500008
GOBP_ADRENAL_GLAND_DEVELOPMENT	351	27	0.17906406807639325	0.18955777544921518	0.12780310463812938
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	91	14	0.19620281280195442	0.17255212331829806	0.08619684724012747
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	105	15	0.19198182706809605	0.2051899012239914	0.3098799598901619
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	136	17	0.18195910868043022	0.19411110499288442	0.2872899970255418
GOBP_ADAPTIVE_IMMUNE_RESPONSE	199396	632	0.22894740316725984	0.23056626813223668	1.4113198657923613e-05
GOBP_ARTERY_MORPHOGENESIS	3081	79	0.18537474519525354	0.18734967204227412	0.3969455579900616
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	66	12	0.19699431503935483	0.17857945655399668	0.26940724269793515
GOBP_ANIMAL_ORGAN_REGENERATION	2080	65	0.19581368241421337	0.1976431467118134	0.5067554127155833
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	3003	78	0.1902231379151127	0.19263352751991913	0.31521782405078175
GOBP_AMINE_BIOSYNTHETIC_PROCESS	820	41	0.1952143920565848	0.18907286442623242	0.1673928577519208
GOBP_AGGRESOME_ASSEMBLY	15	6	0.16569343145056006	0.18175181288758344	0.7190810084380246
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	5356	104	0.19335181292486556	0.1978106743142564	0.012399045637015818
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	29403	243	0.1868948070304902	0.19163527225274257	1.1630792885076355e-09
GOBP_ASTROCYTE_ACTIVATION	276	24	0.1851571732182082	0.2017560731761529	0.02113207193766458
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	5778	108	0.19360467660861436	0.19622301947351353	0.13605997669328146
GOBP_ACTIN_FILAMENT_SEVERING	120	16	0.16695289324079216	0.1912552887840921	0.048735628147947685
